breakpoints,primitives,points,q_bp
40500,movej_fit,"[array([2025.27617464, -624.18529882,  785.22210718])]","[array([-0.0957272 ,  0.69895918, -0.29013419,  2.4449954 , -1.23421489,
       -3.00444836])]"
41000,movej_fit,"[array([2033.54495162, -625.49627103,  779.26362556])]","[array([-0.07989014,  0.72349944, -0.2981822 ,  2.38760528, -1.2580165 ,
       -3.03049363])]"
41500,movej_fit,"[array([2041.62186157, -627.03154389,  773.09661619])]","[array([-0.06543924,  0.74796108, -0.30468758,  2.3317232 , -1.28135163,
       -3.05514274])]"
42000,movej_fit,"[array([2049.53410552, -628.84642689,  766.79338738])]","[array([-0.05281168,  0.77180561, -0.31001398,  2.27901448, -1.3034735 ,
       -3.07773374])]"
42500,movej_fit,"[array([2057.32832402, -630.98661669,  760.44539786])]","[array([-0.04224952,  0.79457213, -0.31468899,  2.23082126, -1.32376001,
       -3.0977665 ])]"
43000,movej_fit,"[array([2065.06896918, -633.48962044,  754.16434699])]","[array([-0.03382234,  0.81589966, -0.31931318,  2.18812965, -1.34172381,
       -3.11489171])]"
43500,movej_fit,"[array([2072.83239899, -636.38537422,  748.08564474])]","[array([-0.02748264,  0.83551131, -0.32448566,  2.15164419, -1.35698461,
       -3.12886516])]"
44000,movej_fit,"[array([2080.70184564, -639.69736247,  742.36776011])]","[array([-0.02312362,  0.85318963, -0.33076277,  2.12189307, -1.36923691,
       -3.1394982 ])]"
44500,movej_fit,"[array([2088.75093947, -643.43970444,  737.19219603])]","[array([-0.02063213,  0.86873247, -0.33863323,  2.09936621, -1.37821073,
       -3.14660223])]"
45000,movej_fit,"[array([2097.02222367, -647.61197134,  732.7508319 ])]","[array([-0.01991955,  0.88193065, -0.34849166,  2.08458815, -1.38366619,
       -3.14996616])]"
45500,movej_fit,"[array([2105.50395104, -652.19367971,  729.21457887])]","[array([-0.02093296,  0.89258133, -0.36059579,  2.07809709, -1.38543168,
       -3.1493764 ])]"
46000,movej_fit,"[array([2114.13427432, -657.1531785 ,  726.68306244])]","[array([-0.02365943,  0.90055213, -0.37504747,  2.08034457, -1.38346826,
       -3.14466072])]"
46500,movej_fit,"[array([2122.8024486 , -662.45158445,  725.15600246])]","[array([-0.02812928,  0.90581548, -0.3917707 ,  2.09162264, -1.37790809,
       -3.13572216])]"
47000,movej_fit,"[array([2131.38768276, -668.06115052,  724.52888696])]","[array([-0.03442416,  0.90847887, -0.4105569 ,  2.11203833, -1.36905001,
       -3.12253888])]"
47500,movej_fit,"[array([2139.78978204, -673.97559234,  724.62603506])]","[array([-0.04268464,  0.90876366, -0.43111612,  2.14157142, -1.35730943,
       -3.10513201])]"
48000,movej_fit,"[array([2147.9382853 , -680.2068609 ,  725.24263431])]","[array([-0.05309464,  0.90697402, -0.45308533,  2.18008831, -1.3431829 ,
       -3.08356403])]"
48500,movej_fit,"[array([2155.78758359, -686.77347579,  726.17410251])]","[array([-0.06582888,  0.90349083, -0.47599541,  2.2272296 , -1.3272511 ,
       -3.05800199])]"
49000,movej_fit,"[array([2163.31474982, -693.69174315,  727.23137637])]","[array([-0.08097281,  0.89878502, -0.49925478,  2.28222733, -1.31018675,
       -3.02881214])]"
49500,movej_fit,"[array([2170.5097303 , -700.95933694,  728.24630084])]","[array([-0.09840273,  0.89343395, -0.52215283,  2.34363932, -1.29276733,
       -2.99669688])]"
50000,movej_fit,"[array([2177.38401812, -708.55452751,  729.07579413])]","[array([-0.11775195,  0.88809026, -0.54403594,  2.40943614, -1.27578412,
       -2.9626522 ])]"
