primitives,points,q_bp
movel_fit,"[array([1108.10283422,  243.91105426,  981.35308948])]","[array([-0.01549933,  0.10702501,  0.40105919,  0.49933333,  1.78879079,
       -1.76676171])]"
movel_fit,"[array([1105.64018818,  253.82421384,  982.90307382])]","[array([-0.00674201,  0.09169868,  0.40681626,  0.49698963,  1.77943535,
       -1.81747655])]"
movel_fit,"[array([1102.73066698,  263.52789092,  984.73287935])]","[array([ 0.00190028,  0.06847224,  0.41630998,  0.49390744,  1.76159993,
       -1.86350962])]"
movel_fit,"[array([1099.44308915,  273.0822419 ,  986.58046914])]","[array([ 0.01041572,  0.03740698,  0.43002105,  0.49053975,  1.73508681,
       -1.90493752])]"
movel_fit,"[array([1095.82367841,  282.59225639,  988.26575657])]","[array([ 1.89028479e-02, -1.24682593e-03,  4.48334111e-01,  4.87302708e-01,
        1.70004329e+00, -1.94210685e+00])]"
movel_fit,"[array([1091.93559331,  291.98711771,  989.71426438])]","[array([ 0.02743221, -0.04672953,  0.47132121,  0.4845501 ,  1.65727259,
       -1.97533674])]"
movel_fit,"[array([1087.82384705,  301.33393644,  990.87498383])]","[array([ 0.03615564, -0.0980754 ,  0.49882369,  0.48261223,  1.60783939,
       -2.00477751])]"
movel_fit,"[array([1083.43830311,  310.58032288,  992.05646714])]","[array([ 0.04514635, -0.15378673,  0.53011361,  0.48177996,  1.55363913,
       -2.03004475])]"
movel_fit,"[array([1078.90454315,  319.80266881,  992.85718178])]","[array([ 0.05451552, -0.21221266,  0.56460221,  0.48232772,  1.49592196,
       -2.05065826])]"
movel_fit,"[array([1074.45580217,  329.09896583,  992.8305059 ])]","[array([ 0.06429643, -0.27166337,  0.6015696 ,  0.48455024,  1.4357917 ,
       -2.06575464])]"
movel_fit,"[array([1070.09678524,  338.42159904,  992.48050173])]","[array([ 0.07434632, -0.33048931,  0.63965653,  0.48875275,  1.37518855,
       -2.07363283])]"
movel_fit,"[array([1065.92545909,  347.78865136,  991.81418298])]","[array([ 0.08447312, -0.38751398,  0.67797578,  0.49529666,  1.31510366,
       -2.07254665])]"
movel_fit,"[array([1061.99708159,  357.26212956,  990.99935739])]","[array([ 0.09447839, -0.44204926,  0.71583179,  0.50455332,  1.25607902,
       -2.06046303])]"
movel_fit,"[array([1058.25737099,  366.83938744,  990.41524633])]","[array([ 0.10430345, -0.49390973,  0.7527128 ,  0.516701  ,  1.19830052,
       -2.03496745])]"
movel_fit,"[array([1055.06221976,  376.62475617,  989.71414662])]","[array([ 0.11421783, -0.54280899,  0.78850799,  0.53146749,  1.1408006 ,
       -1.99375645])]"
movel_fit,"[array([1052.82104423,  386.62889385,  988.57467457])]","[array([ 0.12495179, -0.58811091,  0.82279122,  0.54751482,  1.08272448,
       -1.93444795])]"
movel_fit,"[array([1051.49127981,  396.81312296,  987.7469045 ])]","[array([ 0.13762794, -0.62893969,  0.85400176,  0.56167048,  1.02471619,
       -1.85493759])]"
movel_fit,"[array([1050.96159681,  407.11082064,  987.60795434])]","[array([ 0.15345352, -0.66323515,  0.87983182,  0.56920634,  0.96883469,
       -1.75522402])]"
movel_fit,"[array([1051.29022761,  417.42620623,  988.05888563])]","[array([ 0.1726536 , -0.68754002,  0.8975142 ,  0.56573664,  0.9189351 ,
       -1.63910447])]"
movel_fit,"[array([1052.884566  ,  427.62933852,  988.48533518])]","[array([ 0.19357729, -0.697732  ,  0.90456697,  0.55035849,  0.88027096,
       -1.51493498])]"
movel_fit,"[array([1055.4160543 ,  437.60356514,  989.18532541])]","[array([ 0.21331436, -0.69201578,  0.89951783,  0.52653472,  0.85851209,
       -1.39275262])]"
movel_fit,"[array([1058.62064456,  447.39052934,  990.31938877])]","[array([ 0.22926191, -0.67044971,  0.88233761,  0.50049916,  0.85680667,
       -1.28147058])]"
movel_fit,"[array([1062.25632356,  456.96015356,  991.70435787])]","[array([ 0.23992201, -0.6345179 ,  0.85432382,  0.47813622,  0.87517449,
       -1.18674829])]"
movel_fit,"[array([1066.46711608,  466.34844848,  992.82356731])]","[array([ 0.24496007, -0.58563512,  0.81716721,  0.46294907,  0.91158238,
       -1.11029392])]"
movel_fit,"[array([1071.61016725,  475.36577708,  992.76441094])]","[array([ 0.2448521 , -0.52555637,  0.7730841 ,  0.45583337,  0.96260241,
       -1.0510313 ])]"
movel_fit,"[array([1076.99897341,  484.18512955,  992.22412647])]","[array([ 0.24122232, -0.45782166,  0.72436682,  0.45542508,  1.02477058,
       -1.00544455])]"
movel_fit,"[array([1130.90261967,  581.27980311,  986.87288688])]","[array([ 0.19848507,  0.23827316,  0.30151334,  0.60187752,  1.71012345,
       -0.65365654])]"
