breakpoints,primitives,points,q_bp
37000,movel_fit,"[array([1138.83414324,  417.5720337 , 1066.55898506])]","[array([ 0.26862752,  0.11968963,  0.23164665,  0.23113548,  1.87435947,
       -2.29546318])]"
37500,movel_fit,"[array([1134.29345906,  434.2408723 , 1063.4660738 ])]","[array([ 0.29357957,  0.13478458,  0.22282309,  0.21390945,  1.8867899 ,
       -2.2779209 ])]"
38000,movel_fit,"[array([1129.3503389 ,  450.70854162, 1059.93082419])]","[array([ 0.31812653,  0.15060658,  0.21445249,  0.19716759,  1.89988629,
       -2.26056193])]"
38500,movel_fit,"[array([1124.01476211,  466.95516932, 1055.95953448])]","[array([ 0.34215661,  0.16720698,  0.20653011,  0.18109656,  1.91370211,
       -2.24341826])]"
39000,movel_fit,"[array([1118.29892971,  482.96245254, 1051.56122172])]","[array([ 0.36556123,  0.18463629,  0.19904385,  0.16588123,  1.92829005,
       -2.22651489])]"
39500,movel_fit,"[array([1112.21696206,  498.71406115, 1046.74734464])]","[array([ 0.38823789,  0.2029343 ,  0.19198087,  0.15169968,  1.94369076,
       -2.20987547])]"
40000,movel_fit,"[array([1105.78454935,  514.19602111, 1041.53145103])]","[array([ 0.41009395,  0.22211576,  0.18533592,  0.13871623,  1.9599161 ,
       -2.1935302 ])]"
40500,movel_fit,"[array([1099.01856598,  529.39703419, 1035.92876498])]","[array([ 0.43105148,  0.2421557 ,  0.17911916,  0.12707269,  1.97693159,
       -2.17752301])]"
41000,movel_fit,"[array([1091.93666097,  544.30867647, 1029.95573537])]","[array([ 0.45105219,  0.26298034,  0.17335969,  0.11687938,  1.99464554,
       -2.16191482])]"
41500,movel_fit,"[array([1084.55684152,  558.92541918, 1023.62957466])]","[array([ 0.47006108,  0.28447117,  0.16810199,  0.10820945,  2.0129134 ,
       -2.14677901])]"
42000,movel_fit,"[array([1076.89707429,  573.24443699, 1016.9678237 ])]","[array([ 0.48806595,  0.30648637,  0.16339456,  0.1011008 ,  2.03156314,
       -2.13218843])]"
42500,movel_fit,"[array([1068.97493816,  587.26521371, 1009.98798224])]","[array([ 0.50507174,  0.32889655,  0.15927451,  0.09556849,  2.05043777,
       -2.11819744])]"
43000,movel_fit,"[array([1060.80736862,  600.98901577, 1002.70724155])]","[array([ 0.52109022,  0.35162028,  0.15575597,  0.09162504,  2.06943845,
       -2.10482733])]"
43500,movel_fit,"[array([1052.41052899,  614.41836006,  995.14234184])]","[array([ 0.5361299 ,  0.37463861,  0.15283042,  0.0892997 ,  2.08854273,
       -2.09206536])]"
44000,movel_fit,"[array([1043.79982121,  627.5566249 ,  987.30954879])]","[array([ 0.54679328,  0.39030235,  0.15281267,  0.09717288,  2.094395  ,
       -2.03952087])]"
44500,movel_fit,"[array([1034.99000518,  640.40791204,  979.22470483])]","[array([ 0.55563252,  0.40292266,  0.15408659,  0.10877563,  2.094395  ,
       -1.97095111])]"
45000,movel_fit,"[array([1025.99533901,  652.97715229,  970.90327155])]","[array([ 0.56419866,  0.41585208,  0.15556883,  0.12020292,  2.094395  ,
       -1.90404871])]"
45500,movel_fit,"[array([1016.82960974,  665.27029059,  962.36026254])]","[array([ 0.57247371,  0.4290525 ,  0.1572618 ,  0.13151277,  2.094395  ,
       -1.83890214])]"
46000,movel_fit,"[array([1007.50593934,  677.29427745,  953.60999986])]","[array([ 0.58046615,  0.44247574,  0.15916978,  0.14271236,  2.094395  ,
       -1.77574557])]"
46500,movel_fit,"[array([998.0363687 , 689.05666712, 944.66573501])]","[array([ 0.58817697,  0.45609213,  0.1612913 ,  0.153838  ,  2.094395  ,
       -1.71461534])]"
47000,movel_fit,"[array([988.43144479, 700.56496231, 935.53934006])]","[array([ 0.59558392,  0.46990319,  0.16361962,  0.1649819 ,  2.094395  ,
       -1.65522496])]"
47500,movel_fit,"[array([978.70024823, 711.82631858, 926.24140088])]","[array([ 0.60267545,  0.48390085,  0.16615352,  0.17620728,  2.094395  ,
       -1.59744878])]"
48000,movel_fit,"[array([968.85120274, 722.84826326, 916.78192657])]","[array([ 0.60952046,  0.49798616,  0.1689051 ,  0.18740623,  2.094395  ,
       -1.54222505])]"
48500,movel_fit,"[array([958.89321552, 733.63977543, 907.17129259])]","[array([ 0.61626338,  0.51198152,  0.17188197,  0.19833884,  2.094395  ,
       -1.49137887])]"
49000,movel_fit,"[array([948.83534826, 744.20940074, 897.42010962])]","[array([ 0.62288461,  0.52592996,  0.17505214,  0.20912221,  2.094395  ,
       -1.44425489])]"
49500,movel_fit,"[array([938.68403502, 754.55861096, 887.5372356 ])]","[array([ 0.62889997,  0.54036382,  0.17838262,  0.22074521,  2.094395  ,
       -1.39477848])]"
50000,movel_fit,"[array([928.45051518, 764.69851402, 877.53364464])]","[array([ 0.63492077,  0.55363484,  0.18208778,  0.23218811,  2.09421392,
       -1.36025007])]"
