breakpoints,primitives,points,q_bp
14333,movel_fit,"[array([1059.72215163, -350.87937255,  943.65448776])]","[array([-0.69535492, -0.31727369,  0.74976127,  0.73348069,  1.39101945,
       -2.31224181])]"
14500,movel_fit,"[array([1060.99225119, -345.26434764,  944.77568127])]","[array([-0.69145741, -0.31793832,  0.74998538,  0.73561914,  1.39204831,
       -2.30631809])]"
14666,movel_fit,"[array([1062.26133176, -339.68798079,  945.90786869])]","[array([-0.68753805, -0.31857455,  0.75015494,  0.73768633,  1.39305343,
       -2.3004394 ])]"
14833,movel_fit,"[array([1063.54431121, -334.08296853,  947.06419466])]","[array([-0.68355022, -0.31918962,  0.75027216,  0.73970752,  1.3940472 ,
       -2.29453526])]"
15000,movel_fit,"[array([1064.83319318, -328.48279573,  948.23739779])]","[array([-0.67951794, -0.31977924,  0.75033604,  0.74167041,  1.39502382,
       -2.28864143])]"
15166,movel_fit,"[array([1066.11984328, -322.92082781,  949.41981762])]","[array([-0.67546631, -0.32033969,  0.75034687,  0.74356405,  1.39597787,
       -2.2827934 ])]"
15333,movel_fit,"[array([1067.41940056, -317.32992378,  950.62521773])]","[array([-0.67134706, -0.32087733,  0.75030495,  0.74541154,  1.39692116,
       -2.27692102])]"
15500,movel_fit,"[array([1068.7237687 , -311.74347016,  951.84604324])]","[array([-0.66718499, -0.32138835,  0.75021026,  0.74720157,  1.39784818,
       -2.27105982])]"
15666,movel_fit,"[array([1070.0247391 , -306.19474396,  953.07437459])]","[array([-0.66300594, -0.32186958,  0.75006405,  0.74892419,  1.39875382,
       -2.26524509])]"
15833,movel_fit,"[array([1071.33763179, -300.61675443,  954.32454133])]","[array([-0.65876008, -0.32232648,  0.74986478,  0.75060039,  1.39964927,
       -2.25940707])]"
16000,movel_fit,"[array([1072.65426907, -295.04279829,  955.58872024])]","[array([-0.65447296, -0.3227558 ,  0.74961344,  0.75221988,  1.40052928,
       -2.25358113])]"
16166,movel_fit,"[array([1073.96638611, -289.50607317,  956.85875691])]","[array([-0.65017114, -0.32315496,  0.74931225,  0.7537737 ,  1.40138898,
       -2.24780237])]"
16333,movel_fit,"[array([1075.28944458, -283.93972498,  958.14949512])]","[array([-0.64580329, -0.32352855,  0.74895788,  0.75528081,  1.40223894,
       -2.24200151])]"
16500,movel_fit,"[array([1076.61520348, -278.37696926,  959.4528677 ])]","[array([-0.6413957 , -0.32387394,  0.74855233,  0.75673192,  1.40307413,
       -2.23621376])]"
16666,movel_fit,"[array([1077.93535929, -272.85093336,  960.76050883])]","[array([-0.63697562, -0.32418918,  0.74809883,  0.75811908,  1.40388985,
       -2.23047403])]"
